,0,1,2,3
784,1510,,,
785,56500,,,
786,49592,,,
787,43556,,,
788,1948,,,
789,7178,,,
790,7745,,,
791,50845,,,
792,5599,,,
793,19020,,,
794,58093,,,
795,3767,,,
796,54033,,,
797,36262,,,
798,8134,,,
799,16629,,,
800,538,,,
801,1666,,,
802,32597,,,
803,48897,,,
804,36554,,,
805,12162,,,
806,11290,,,
807,2383,,,
808,32101,,,
809,3893,,,
810,1019,,,
811,33770,,,
812,272,,,
813,26823,,,
814,3787,,,
815,4790,,,
816,54036,,,
817,71,,,
818,16638,,,
819,3899,,,
820,260,,,
821,11745,,,
822,5381,,,
823,38545,,,
824,803,,,
825,32322,,,
826,52124,,,
827,181,,,
828,18129,,,
829,20178,,,
830,15988,,,
831,396,,,
832,74,57160.0,,
833,7574,,,
834,7903,,,
835,551,,,
836,28170,53852.0,,
837,11684,,,
838,18196,,,
839,163,,,
840,16411,,,
841,2019,,,
842,27120,,,
843,26027,58393.0,,
844,1178,,,
845,24490,,,
846,42406,42564.0,,
847,3692,,,
848,16348,,,
849,11521,,,
850,23651,,,
851,45217,,,
852,29118,,,
853,4463,,,
854,1428,,,
855,17745,,,
856,836,,,
857,45202,59013.0,,
858,38395,,,
859,30478,,,
860,4759,,,
861,7141,,,
862,18230,,,
863,6184,,,
864,32496,,,
865,10448,,,
866,832,,,
867,1357,,,
868,56216,,,
869,16836,,,
870,56857,,,
871,720,,,
872,12432,,,
873,29081,,,
874,30438,,,
875,4446,,,
876,11046,,,
877,78,,,
878,320,,,
879,39520,,,
880,2050,,,
881,40163,,,
882,1657,,,
883,14700,,,
884,11692,,,
885,51136,,,
886,296,,,
887,6733,,,
888,21784,,,
889,5879,,,
890,774,,,
891,33728,33729.0,,
892,8035,,,
893,50933,,,
894,81,,,
895,393,,,
896,22265,,,
897,11784,,,
898,38622,,,
899,8287,,,
900,2927,,,
901,1630,,,
902,343,,,
903,13763,,,
904,140,,,
905,16681,,,
906,28462,,,
907,31375,,,
908,58305,,,
909,43534,,,
910,39310,,,
911,311,,,
912,40965,,,
913,3949,,,
914,25648,,,
915,434,,,
916,34855,,,
917,18053,,,
918,1221,,,
919,13475,,,
920,2792,,,
921,32917,,,
922,23978,,,
923,25248,,,
924,5777,,,
925,1403,,,
926,11071,,,
927,22364,,,
928,2263,,,
929,9526,,,
930,85,,,
931,11321,,,
932,28022,,,
933,86,,,
934,9403,,,
935,1875,,,
936,8145,,,
937,28473,,,
938,12126,,,
939,19637,,,
940,58176,,,
941,5400,,,
942,18161,,,
943,14761,,,
944,4857,,,
945,16672,,,
946,12654,,,
947,1519,,,
948,24534,,,
949,32568,,,
950,22494,,,
951,23855,,,
952,202,,,
953,2442,,,
954,5347,,,
955,39516,,,
956,107,,,
957,41588,,,
958,7078,,,
959,53685,,,
960,15742,,,
961,41751,,,
962,27392,,,
963,1379,,,
964,6454,,,
965,20101,,,
966,3242,,,
967,10400,,,
968,87,,,
969,36017,,,
970,13547,,,
971,1001,,,
972,485,,,
973,21227,,,
974,33774,,,
975,16256,,,
976,45166,,,
977,10945,,,
978,3961,,,
979,25721,,,
980,6096,,,
981,36339,,,
982,14412,,,
983,859,,,
984,49422,,,
985,18954,,,
986,23388,,,
987,45513,,,
988,15528,,,
989,36561,,,
990,390,,,
991,51363,,,
992,1121,,,
